1,OF,Christian Yelich,MIL,34,Bat shit crazy - ain't it Jon Jay
2,OF,Aaron Judge,NYY,35,Wofford Terriers
3,OF,Mike Trout,LAA,59,SouthSliders
4,SS,Trea Turner,WAS,36,Bat shit crazy - ain't it Jon Jay
5,3B,Nolan Arenado,COL,37,Bash Brothers
6,OF,Bryce Harper,PHI,48,New Team 7
7,OF,Mookie Betts,BOS,55,Rougned Odor (M)
8,P,Jacob deGrom,NYM,42,Error Jordan
9,OF,Joey Gallo,TEX,29,TWTW
10,2B,Javier Baez,CHC,28,Error Jordan
11,UT,Manny Machado,SD,43,SouthSliders
12,P,Max Scherzer,WAS,48,Error Jordan
13,1B,Paul Goldschmidt,STL,34,SouthSliders
14,OF,J.D. Martinez,BOS,38,Error Jordan
15,P,Corey Kluber,CLE,33,TWTW
16,SS,Trevor Story,COL,36,Margaritaville Fins
17,OF,Marcell Ozuna,STL,25,Margaritaville Fins
18,3B,Miguel Andujar,NYY,16,Aunt Becky's Scholar Athletes
19,SS,Francisco Lindor,CLE,42,Aunt Becky's Scholar Athletes
20,OF,Giancarlo Stanton,NYY,40,Wofford Terriers
21,OF,Rhys Hoskins,PHI,37,Margaritaville Fins
22,P,Edwin Diaz,NYM,23,New Team 7
23,P,Chris Sale,BOS,45,Error Jordan
24,P,Justin Verlander,HOU,33,TWTW
25,SS,Jean Segura,PHI,18,Margaritaville Fins
26,P,Clayton Kershaw,LAD,22,TWTW
27,3B,Jose Ramirez,CLE,47,SouthSliders
28,2B,Jose Altuve,HOU,30,Aunt Becky's Scholar Athletes
29,C,Yadier Molina,STL,8,Hakuna Moncada
30,P,Craig Kimbrel,(N/A),16,Bat shit crazy - ain't it Jon Jay
31,OF,Andrew Benintendi,BOS,34,Hakuna Moncada
32,P,Aaron Nola,PHI,36,SouthSliders
33,C,J.T. Realmuto,PHI,26,Bash Brothers
34,3B,Matt Carpenter,STL,24,Hakuna Moncada
35,1B,Freddie Freeman,ATL,35,Bash Brothers
36,P,Aroldis Chapman,NYY,14,Wofford Terriers
37,2B,Yoan Moncada,CHW,18,Hakuna Moncada
38,3B,Alex Bregman,HOU,39,Aunt Becky's Scholar Athletes
39,P,Kenley Jansen,LAD,15,Hakuna Moncada
40,OF,Juan Soto,WAS,37,TWTW
41,1B,Yonder Alonso,CHW,3,Margaritaville Fins
42,P,James Paxton,NYY,26,New Team 7
43,1B,Joey Votto,CIN,29,Wofford Terriers
44,P,Blake Snell,TB,32,New Team 7
45,C,Gary Sanchez,NYY,26,TWTW
46,OF,Eloy Jimenez,CHW,22,Hakuna Moncada
47,OF,Charlie Blackmon,COL,30,Bash Brothers
48,3B,Vladimir Guerrer TOR,30,Aunt Becky's Scholar Athletes
49,MI,Adalberto Mondesi,KC,23,Team Burbatt
50,1B,Anthony Rizzo,CHC,30,Bat shit crazy - ain't it Jon Jay
51,OF,"Ronald Acuna",ATL,40,Rougned Odor (M)
52,1B,Cody Bellinger,LAD,28,Rougned Odor (M)
53,2B,Dee Gordon,SEA,10,New Team 7
54,P,Stephen Strasburg,WAS,19,Wofford Terriers
55,OF,Starling Marte,PIT,26,Hakuna Moncada
56,P,Madison Bumgarner,SF,16,Bash Brothers
57,P,Wade Davis,COL,6,Bat shit crazy - ain't it Jon Jay
58,2B,Whit Merrifield,KC,22,Bat shit crazy - ain't it Jon Jay
59,P,Gerrit Cole,HOU,32,Bat shit crazy - ain't it Jon Jay
60,P,Patrick Corbin,WAS,20,Aunt Becky's Scholar Athletes
61,P,Dallas Keuchel,(N/A),11,Margaritaville Fins
62,P,Zack Greinke,ARI,17,Wofford Terriers
63,P,Blake Treinen,OAK,12,New Team 7
64,2B,Gleyber Torres,NYY,15,Bash Brothers
65,3B,Travis Shaw,MIL,16,Rougned Odor (M)
66,OF,Yasiel Puig,CIN,22,Wofford Terriers
67,OF,Victor Robles,WAS,21,Hakuna Moncada
68,P,Trevor Bauer,CLE,27,Rougned Odor (M)
69,P,Yu Darvish,CHC,15,New Team 7
70,3B,Kris Bryant,CHC,37,Bash Brothers
71,P,Noah Syndergaard,NYM,29,Bash Brothers
72,P,Josh Hader,MIL,15,Error Jordan
73,OF,George Springer,HOU,24,Aunt Becky's Scholar Athletes
74,P,David Price,BOS,12,Bash Brothers
75,P,Roberto Osuna,HOU,11,TWTW
76,3B,Eugenio Suarez,CIN,20,Team Burbatt
77,3B,Matt Chapman,OAK,16,Wofford Terriers
78,SS,Carlos Correa,HOU,20,Team Burbatt
79,P,Andrew Heaney,LAA,10,SouthSliders
80,P,Luis Severino,NYY,20,Error Jordan
81,P,Jose Berrios,MIN,15,Bash Brothers
82,2B,Ozzie Albies,ATL,18,SouthSliders
83,P,Carlos Carrasco,CLE,26,New Team 7
84,P,Brad Hand,CLE,10,Hakuna Moncada
85,1B,Jose Abreu,CHW,14,New Team 7
86,UT,Khris Davis,OAK,22,Rougned Odor (M)
87,P,Felipe Vazquez,PIT,11,Error Jordan
88,3B,Josh Donaldson,ATL,16,Aunt Becky's Scholar Athletes
89,3B,Anthony Rendon,WAS,21,Rougned Odor (M)
90,P,Walker Buehler,LAD,25,Hakuna Moncada
91,SS,Xander Bogaerts,BOS,23,Wofford Terriers
92,P,Jon Lester,CHC,4,Aunt Becky's Scholar Athletes
93,P,Cole Hamels,CHC,9,Margaritaville Fins
94,OF,Lorenzo Cain,MIL,18,TWTW
95,P,Mike Clevinger,CLE,14,Aunt Becky's Scholar Athletes
96,OF,A.J. Pollock,LAD,12,New Team 7
97,P,Tyler Glasnow,TB,13,Team Burbatt
98,UT,Nelson Cruz,MIN,17,Error Jordan
99,P,Jose Quintana,CHC,10,New Team 7
100,1B,Max Muncy,LAD,12,Bash Brothers
101,SS,Jurickson Profar,OAK,11,Rougned Odor (M)
102,OF,Mallex Smith,SEA,12,Team Burbatt
103,2B,Rougned Odor,(N/A),15,Wofford Terriers
104,P,Jameson Taillon,PIT,16,Bash Brothers
105,OF,Andrew McCutchen,PHI,16,TWTW
106,P,German Marquez,COL,15,Margaritaville Fins
107,P,Jack Flaherty,STL,16,New Team 7
108,P,Miles Mikolas,STL,10,Team Burbatt
109,3B,Rafael Devers,BOS,14,Bat shit crazy - ain't it Jon Jay
110,OF,Tommy Pham,TB,20,Bat shit crazy - ain't it Jon Jay
111,SS,Corey Seager,LAD,17,Team Burbatt
112,SS,Willy Adames,TB,5,New Team 7
113,3B,Mike Moustakas,MIL,11,Team Burbatt
114,P,Luis Castillo,CIN,9,Rougned Odor (M)
115,P,Dellin Betances,NYY,7,Wofford Terriers
